the rating should be higher.	train	43006457
i can tell you that there are still secrets that she's trying to uncover.	train	43073419
phury's character made me phurious at times!	train	1928049
not your typical overwrought teen romance.	train	17271423
started read it without any expectation because i've never read any sarah dessen's novel before,, and keep asking, keep expecting, keep being curious while reading.	train	1032900
i thought that wasn't played too well in my opinion.	train	25783143
if you love mc/biker stories and want to read something with substance and a couple that has chemistry in spades, check out reaper's fire by joanna wylde.	train	47224142
i'm breaking the rules and leaving a review because i want tessa to know how very much i love this particular story.	train	21399879
i love, love, love this book!	train	4315675
then i found out that both mia and adam became successful with their music careers, and i liked it.	train	10706553
it was so easy for you to end it.	train	25207434
escape rating a+: clearly i need to read more sf again, because i've been loving every story i get my hands on.	train	21512449
since this review is being written after my second reading (or listen to be more accurate), i think it's safe to say that i'll likely come back in the future and reread this one.	train	13631613
i'm going to die!!!!	train	23036278
he was really an a-class man that i can't wait to read more about.	train	21962320
if you are looking for something interesting, sexy and a little scary then you will enjoy this story.	train	21388692
love this series	train	24486669
after reading the selection, kierra cass leaves our minds and hearts curious and wanting more.	train	15413183
i am still pee'd off with myself for believing the hype and buying all three books together, when i first read the synopsis, i thought not my kind of book..... and then all of my friends bought them and the back of the books promised that they were addictive and you wouldn't be able to forget them..... i'm sure this must go against the trade descriptions act.. at least i seriously hope i can forget them.. anyway still one to go.. i will have to read a few other books before i can embark on that one though.	train	16813814
claire fell in love with him!	train	17349258
i was a little thrown by the unbelievable amount of unrestrained sexy times that go on in this book in the first 15% but then you just sort of sit back and enjoy the ride.	train	13235522
it is going to be a long wait for the sequel but in the mean time i'll probably reread nowhere but here several more times.	train	25128414
this one did not make me cry like some of his other stories but i still enjoyed it.	train	1268663
i love scott's ability to tell a complete story in only a few pages.	train	3920010
if a guy made for me the things that noah did for penny i swear i would ask him to marry me!	train	41954714
she is so obviously better than every other girl around her!	train	15413183
and then, they met again the next morning at a coffee shop.	train	27231999
he's totally opposite of kyle.	train	24333050
ms. mcmaster's writing in flawless and will draw you in until you realize you have finished half the book without putting it done.	train	19058959
i picked this up because i was told it was like alexa riley who i enjoy for quick over the top insta love read.	train	54674562
she sees past his fake charm, she calls him on his shit...she is interested in him...not the soccer superstar.	train	23882640
despite that, i thought the book gave me different kinds of emotions, from frustratingly angry to giggling 12-year-old to annoyingly pained.	train	45749039
hell, she'd practically run away from me.	train	43014520
"at her nod, he continued, ""you're beautiful,"" he started slowly and then seemed to get into the groove. """	train	21550680
autumn had to decide what she wanted and when she heard from ethan's sister about the sale of the ranch she made a plan to save ethan and herself.	train	25029040
that made for some very entertaining stories.	train	21807237
however, i will tell you that there are some sad moments, happy moments, and some laugh-out-loud funny moments, but a book isn't great unless it tugs at all of your emotions.	train	18259538
first, let me just say: i loved the shit out of this book!	train	24343659
they learn to live together, be together and eventually give into their destiny of being mates.	train	42856242
i don't think for the most part that the aspects revolving around maddy and olly are problematic like some say, i think she didn't just want to leave because of him he was a big part that was fueling her but it was just because i wasn't until she started talking to olly that she even considered the possibility of a life outside.	train	26540216
maddie was the bumbling awkward girl and logan, even as a highland warrior, wasn't an over the top, overbearing conqueror.	train	43190257
i love these books.	train	5790090
a must read, but you have to be open, there is more to a relationship than the 2 people in it.	train	21491777
for me the story started off slow, then got interesting, then boring, then interesting, then slow again i think it was because dax chased remi all through the story then when she gave herself to him he had to think about it?	train	49011859
i was thinking more hfn.	train	6570901
i'm looking forward to seeing what happens next.	train	21763760
she was able to contently mosey through life receiving her hourly check-ups from her nurse, carla, and occupying her free time with countless books.	train	26540216
from that review, i knew i had to read this story asap.	train	17992862
i loved it!	train	45479802
part 2 was just as good.	train	44669712
again, they still need to work on communication.	train	23981204
a few days in, it's adventure time!	train	21512449
"i kept trying to picture it in my mind but the whole ""background"" of the story was just horrible."	train	21591309
then her body wants more and lust takes over and directs her response.	train	6777627
both were victims of war but in each other, they found a home.	train	47750501
the grim task is the only one that can maintain the detente between the archangel and the fallen he so detests.	train	13235408
the last time we encountered lady helen ravenel and rhys winterborne, their engagement had come to an abrupt standstill due to a misunderstanding and the unsolicited intervention of kathleen, lady trenear.	train	46235584
**4.5 stars** i really liked this book.	train	52064372
"""why wait if you know it's right?"""	train	43082751
"she put a hand on his arm, her eyes bright with unshed tears, and he confessed the deepest, darkest secret of all. """	train	41439216
madeline was a character i both liked and disliked.	train	52370374
i bought this because the 2nd book in the series, friends without benefits, was free on amazon and because i loved the title.	train	24673151
if you're a young adult reader of course you will want to read it, but i don't know that i will be pimping it out at the library.	train	14515040
reece was everything i want in a love interest.	train	23845708
